Scientific.name,Common.name,Iconic.taxon.name,Taxon #,Place.guess,Latitude,Longitude
Idia rotundalis,Rotund Idia Moth,Insecta,222180,"Winter Harbor, ME, USA",44.33474208,-68.05978775
Euchlaena madusaria,Scrub Euchlaena Moth,Insecta,219630,"Winter Harbor, ME, USA",44.33474208,-68.05978775
Cenopis pettitana,Maple-Basswood Leafroller Moth,Insecta,337467,"Winter Harbor, ME, USA",44.33563049,-68.06012151
Lilium philadelphicum,Wood Lily,Plantae,61253,"Acadia National Park, Mount Desert, ME, US",44.33955333,-68.2718
Epipactis helleborine,broad-leaved helleborine,Plantae,50717,"Winter Harbor, ME, USA",44.33812222,-68.06070833
Toxicodendron radicans,poison ivy,Plantae,58732,"Winter Harbor, ME, USA",44.33581111,-68.05713611
Lathyrus japonicus,seaside pea,Plantae,77638,"Schoodic Point, Acadia National Park, Hancock, Maine, United States",44.33241667,-68.06101111
Solidago sempervirens,northern seaside goldenrod,Plantae,126888,"Schoodic Point, Acadia National Park, Hancock, Maine, United States",44.33250556,-68.06101111
Lithobates clamitans,Green Frog,Amphibia,65982,"Winter Harbor, ME, USA",44.33249722,-68.06086667
Solanum dulcamara,bittersweet nightshade,Plantae,55620,"Schoodic Point, Acadia National Park, Hancock, Maine, United States",44.33266389,-68.06096667
Spiraea alba,white meadowsweet,Plantae,126823,"Winter Harbor, ME, USA",44.33263889,-68.06095833
Korscheltellus gracilis,Conifer Swift Moth,Insecta,177605,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Amydria effrentella,Brown-blotched Amydria Moth,Insecta,213476,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Bibarrambla allenella,Bog Bibarrambla Moth,Insecta,215194,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Swammerdamia caesiella,Birch Ermel,Insecta,232017,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Atteva aurea,Ailanthus Webworm Moth,Insecta,116681,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Limnaecia phragmitella,Shy Cosmet Moth,Insecta,223680,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Argyresthia goedartella,Bronze Alder Moth,Insecta,214138,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Apotomis funerea,Funereal Apotomis Moth,Insecta,214033,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Rhyacionia buoliana,European Pine Shoot Moth,Insecta,209022,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Gymnandrosoma punctidiscanum,Dotted Ecdytolopha Moth,Insecta,326008,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Acleris albicomana,Red-edged Acleris Moth,Insecta,174129,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Archips cerasivorana,Ugly-nest Caterpillar Moth,Insecta,129576,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Clepsis persicana,White Triangle Tortrix,Insecta,217190,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Tortricidia testacea,Early Button Slug Moth,Insecta,232759,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Lithacodes fasciola,Yellow-shouldered Slug Moth,Insecta,201343,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Scoparia biplagialis,Double-striped Scoparia Moth,Insecta,146963,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Scoparia biplagialis,Double-striped Scoparia Moth,Insecta,146963,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Elophila icciusalis,Pondside Pyralid Moth,Insecta,201344,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Sitochroa palealis,Carrot Seed Moth,Insecta,62424,"Winter Harbor, ME, USA",44.33547417,-68.06086063
